"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
1	314772	"Angela"	"                                                | nhits | proportion |                                                                          features
--------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 61174 | 0.19       |                                                                                  
 |--organelle                                   | 13    | 4.1e-05    |                                                                                  
 |   |--plastid                                 | 6     | 1.9e-05    |                                                                                  
 |   '--mitochondria                            | 7     | 2.2e-05    |                                                                                  
 '--repeat                                      | 61161 | 0.19       |                                                                                  
     '--mobile_element                          | 61161 | 0.19       |                                                                                  
         |--Class_I                             | 61154 | 0.19       |                                                                                  
         |   |--LTR                             | 61136 | 0.19       | LTR/PBS                                                                          
         |   |   |--Ty1_copia                   | 61073 | 0.19       |                                                                                  
         |   |   |   |--Ale                     | 19    | 6e-05      | 1 (Ty1-INT), 1 (Ty1-RH), 17 (Ty1-RT),                                            
         |   |   |   |--Angela                  | 61005 | 0.19       | 8039 (Ty1-GAG), 17821 (Ty1-INT), 6340 (Ty1-PROT), 7957 (Ty1-RH), 20848 (Ty1-RT), 
         |   |   |   |--Ikeros                  | 24    | 7.6e-05    | 19 (Ty1-INT), 5 (Ty1-RT),                                                        
         |   |   |   |--Ivana                   | 13    | 4.1e-05    | 1 (Ty1-GAG), 1 (Ty1-INT), 2 (Ty1-RH), 9 (Ty1-RT),                                
         |   |   |   |--SIRE                    | 3     | 9.5e-06    | 1 (Ty1-RH), 2 (Ty1-RT),                                                          
         |   |   |   |--TAR                     | 3     | 9.5e-06    | 3 (Ty1-RT),                                                                      
         |   |   |   '--Tork                    | 6     | 1.9e-05    | 6 (Ty1-RT),                                                                      
         |   |   '--Ty3_gypsy                   | 63    | 2e-04      |                                                                                  
         |   |       |--non-chromovirus         | 17    | 5.4e-05    |                                                                                  
         |   |       |   '--OTA                 | 17    | 5.4e-05    |                                                                                  
         |   |       |       |--Athila          | 7     | 2.2e-05    | 1 (Ty3-GAG), 4 (Ty3-INT), 1 (Ty3-RH), 1 (Ty3-RT),                                
         |   |       |       '--Tat             | 10    | 3.2e-05    |                                                                                  
         |   |       |           '--Retand      | 10    | 3.2e-05    | 3 (Ty3-aRH), 3 (Ty3-INT), 2 (Ty3-RH), 2 (Ty3-RT),                                
         |   |       '--chromovirus             | 46    | 0.00015    |                                                                                  
         |   |           |--Chlamyvir           | 1     | 3.2e-06    | 1 (Ty3-INT),                                                                     
         |   |           |--Tcn1                | 2     | 6.4e-06    | 1 (Ty3-PROT), 1 (Ty3-RT),                                                        
         |   |           |--CRM                 | 33    | 1e-04      | 33 (Ty3-INT),                                                                    
         |   |           |--Galadriel           | 3     | 9.5e-06    | 3 (Ty3-INT),                                                                     
         |   |           |--Tekay               | 5     | 1.6e-05    | 4 (Ty3-INT), 1 (Ty3-RT),                                                         
         |   |           '--Reina               | 2     | 6.4e-06    | 1 (Ty3-PROT), 1 (Ty3-RH),                                                        
         |   '--LINE                            | 18    | 5.7e-05    | 14 (LINE-ENDO), 4 (LINE-RT),                                                     
         '--Class_II                            | 7     | 2.2e-05    |                                                                                  
             '--Subclass_1                      | 7     | 2.2e-05    |                                                                                  
                 '--TIR                         | 7     | 2.2e-05    |                                                                                  
                     |--EnSpm_CACTA             | 4     | 1.3e-05    | 4 (CACTA-TPase),                                                                 
                     |--hAT                     | 1     | 3.2e-06    | 1 (hAT-TPase),                                                                   
                     '--MuDR_Mutator            | 2     | 6.4e-06    | 2 (MuDR-TPase),                                                                  "	NA	"4,8,9,22,30,34,36,46,50,64,66,91,113,114,3,7,28,1,11,12"
2	138271	"Athila"	"                                                | nhits | proportion |                                     features
-------------------------------------------------------------------------------------------------------------------
All                                             | 1631  | 0.012      |                                             
 |--organelle                                   | 3     | 2.2e-05    |                                             
 |   |--plastid                                 | 1     | 7.2e-06    |                                             
 |   '--mitochondria                            | 2     | 1.4e-05    |                                             
 '--repeat                                      | 1628  | 0.012      |                                             
     |--rDNA                                    | 2     | 1.4e-05    |                                             
     |   '--45S_rDNA                            | 2     | 1.4e-05    |                                             
     |       |--18S_rDNA                        | 1     | 7.2e-06    |                                             
     |       '--25S_rDNA                        | 1     | 7.2e-06    |                                             
     '--mobile_element                          | 1626  | 0.012      |                                             
         '--Class_I                             | 1626  | 0.012      |                                             
             |--LTR                             | 1625  | 0.012      | LTR/PBS                                     
             |   |--Ty1_copia                   | 13    | 9.4e-05    |                                             
             |   |   |--Ale                     | 3     | 2.2e-05    | 3 (Ty1-INT),                                
             |   |   |--Angela                  | 8     | 5.8e-05    | 3 (Ty1-GAG), 2 (Ty1-INT), 3 (Ty1-RT),       
             |   |   |--Ivana                   | 1     | 7.2e-06    | 1 (Ty1-RT),                                 
             |   |   '--SIRE                    | 1     | 7.2e-06    | 1 (Ty1-RT),                                 
             |   '--Ty3_gypsy                   | 1612  | 0.012      |                                             
             |       |--non-chromovirus         | 1607  | 0.012      |                                             
             |       |   '--OTA                 | 1607  | 0.012      |                                             
             |       |       |--Athila          | 1603  | 0.012      | 1182 (Ty3-GAG), 420 (Ty3-PROT), 1 (Ty3-RH), 
             |       |       '--Tat             | 4     | 2.9e-05    |                                             
             |       |           '--Retand      | 4     | 2.9e-05    | 4 (Ty3-RT),                                 
             |       '--chromovirus             | 5     | 3.6e-05    |                                             
             |           |--CRM                 | 1     | 7.2e-06    | 1 (Ty3-GAG),                                
             |           |--Tekay               | 2     | 1.4e-05    | 1 (Ty3-INT), 1 (Ty3-RH),                    
             |           '--Reina               | 2     | 1.4e-05    | 2 (Ty3-INT),                                
             '--LINE                            | 1     | 7.2e-06    | 1 (LINE-ENDO),                              "	NA	"25,32,44,57,68,85,107,137,24,2,26"
3	106563	"Athila"	"                                                | nhits | proportion |                                                                        features
------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 34111 | 0.32       |                                                                                
 |--organelle                                   | 16    | 0.00015    |                                                                                
 |   |--plastid                                 | 5     | 4.7e-05    |                                                                                
 |   '--mitochondria                            | 11    | 1e-04      |                                                                                
 '--repeat                                      | 34095 | 0.32       |                                                                                
     |--rDNA                                    | 1     | 9.4e-06    |                                                                                
     |   '--45S_rDNA                            | 1     | 9.4e-06    |                                                                                
     |       '--25S_rDNA                        | 1     | 9.4e-06    |                                                                                
     |--satellite                               | 22770 | 0.21       |                                                                                
     '--mobile_element                          | 11324 | 0.11       |                                                                                
         |--Class_I                             | 11323 | 0.11       |                                                                                
         |   '--LTR                             | 11323 | 0.11       | LTR/PBS                                                                        
         |       |--Ty1_copia                   | 7     | 6.6e-05    |                                                                                
         |       |   |--Ale                     | 3     | 2.8e-05    | 1 (Ty1-RH), 2 (Ty1-RT),                                                        
         |       |   |--Angela                  | 2     | 1.9e-05    | 1 (Ty1-INT), 1 (Ty1-RT),                                                       
         |       |   |--Ivana                   | 1     | 9.4e-06    | 1 (Ty1-RT),                                                                    
         |       |   '--TAR                     | 1     | 9.4e-06    | 1 (Ty1-INT),                                                                   
         |       '--Ty3_gypsy                   | 11316 | 0.11       |                                                                                
         |           |--non-chromovirus         | 11314 | 0.11       |                                                                                
         |           |   |--Phygy               | 1     | 9.4e-06    | 1 (Ty3-INT),                                                                   
         |           |   '--OTA                 | 11313 | 0.11       |                                                                                
         |           |       |--Athila          | 11282 | 0.11       | 1670 (Ty3-GAG), 3836 (Ty3-INT), 1558 (Ty3-PROT), 1738 (Ty3-RH), 2480 (Ty3-RT), 
         |           |       '--Tat             | 31    | 0.00029    |                                                                                
         |           |           |--Ogre        | 6     | 5.6e-05    | 6 (Ty3-GAG),                                                                   
         |           |           '--Retand      | 25    | 0.00024    | 21 (Ty3-GAG), 2 (Ty3-INT), 1 (Ty3-RH), 1 (Ty3-RT),                             
         |           '--chromovirus             | 2     | 1.9e-05    |                                                                                
         |               |--CRM                 | 1     | 9.4e-06    | 1 (Ty3-RT),                                                                    
         |               '--Tekay               | 1     | 9.4e-06    | 1 (Ty3-RT),                                                                    
         '--Class_II                            | 1     | 9.4e-06    |                                                                                
             '--Subclass_1                      | 1     | 9.4e-06    |                                                                                
                 '--TIR                         | 1     | 9.4e-06    |                                                                                
                     '--EnSpm_CACTA             | 1     | 9.4e-06    | 1 (CACTA-TPase),                                                               "	"6 - Putative satellites (low confidence)"	"52,65,69,79,92,102,138,6,19,71"
4	82165	"repeat"	"                                                | nhits | proportion |                                                                                        features
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 29307 | 0.36       |                                                                                                
 |--organelle                                   | 1     | 1.2e-05    |                                                                                                
 |   '--plastid                                 | 1     | 1.2e-05    |                                                                                                
 '--repeat                                      | 29306 | 0.36       |                                                                                                
     |--satellite                               | 6746  | 0.082      |                                                                                                
     '--mobile_element                          | 22560 | 0.27       |                                                                                                
         '--Class_I                             | 22560 | 0.27       |                                                                                                
             '--LTR                             | 22560 | 0.27       | LTR/PBS                                                                                        
                 |--Ty1_copia                   | 4     | 4.9e-05    |                                                                                                
                 |   |--Angela                  | 1     | 1.2e-05    | 1 (Ty1-RH),                                                                                    
                 |   |--Ivana                   | 2     | 2.4e-05    | 2 (Ty1-INT),                                                                                   
                 |   '--SIRE                    | 1     | 1.2e-05    | 1 (Ty1-INT),                                                                                   
                 '--Ty3_gypsy                   | 22556 | 0.27       |                                                                                                
                     |--non-chromovirus         | 22521 | 0.27       |                                                                                                
                     |   |--Selgy               | 1     | 1.2e-05    | 1 (Ty3-RH),                                                                                    
                     |   '--OTA                 | 22520 | 0.27       |                                                                                                
                     |       |--Athila          | 34    | 0.00041    | 32 (Ty3-GAG), 2 (Ty3-INT),                                                                     
                     |       '--Tat             | 22486 | 0.27       |                                                                                                
                     |           |--TatIII      | 1     | 1.2e-05    | 1 (Ty3-RT),                                                                                    
                     |           |--Ogre        | 89    | 0.0011     | 4 (Ty3-aRH), 2 (Ty3-RH), 83 (Ty3-RT),                                                          
                     |           '--Retand      | 22396 | 0.27       | 2803 (Ty3-aRH), 2516 (Ty3-GAG), 6946 (Ty3-INT), 2313 (Ty3-PROT), 3381 (Ty3-RH), 4437 (Ty3-RT), 
                     '--chromovirus             | 35    | 0.00043    |                                                                                                
                         |--Tcn1                | 1     | 1.2e-05    | 1 (Ty3-RT),                                                                                    
                         |--CRM                 | 10    | 0.00012    | 10 (Ty3-RH),                                                                                   
                         '--Tekay               | 24    | 0.00029    | 24 (Ty3-RH),                                                                                   "	"100 - Putative satellites (high confidence)"	"58,63,81,100,106,111,5,67"
5	72375	"Retand"	"                                                | nhits | proportion |                                                                                        features
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 18462 | 0.25       |                                                                                                
 |--organelle                                   | 2     | 2.8e-05    |                                                                                                
 |   '--plastid                                 | 2     | 2.8e-05    |                                                                                                
 '--repeat                                      | 18460 | 0.25       |                                                                                                
     '--mobile_element                          | 18460 | 0.25       |                                                                                                
         |--Class_I                             | 18459 | 0.25       |                                                                                                
         |   '--LTR                             | 18459 | 0.25       | LTR/PBS                                                                                        
         |       |--Ty1_copia                   | 5     | 6.9e-05    |                                                                                                
         |       |   |--Ale                     | 2     | 2.8e-05    | 2 (Ty1-RT),                                                                                    
         |       |   |--Angela                  | 2     | 2.8e-05    | 1 (Ty1-RH), 1 (Ty1-RT),                                                                        
         |       |   '--SIRE                    | 1     | 1.4e-05    | 1 (Ty1-RT),                                                                                    
         |       '--Ty3_gypsy                   | 18454 | 0.25       |                                                                                                
         |           |--non-chromovirus         | 18453 | 0.25       |                                                                                                
         |           |   '--OTA                 | 18453 | 0.25       |                                                                                                
         |           |       |--Athila          | 2     | 2.8e-05    | 2 (Ty3-INT),                                                                                   
         |           |       '--Tat             | 18451 | 0.25       |                                                                                                
         |           |           |--TatII       | 3     | 4.2e-05    | 3 (Ty3-RT),                                                                                    
         |           |           |--Ogre        | 123   | 0.0017     | 1 (Ty3-aRH), 2 (Ty3-RH), 120 (Ty3-RT),                                                         
         |           |           '--Retand      | 18325 | 0.25       | 2509 (Ty3-aRH), 1721 (Ty3-GAG), 6105 (Ty3-INT), 1194 (Ty3-PROT), 2571 (Ty3-RH), 4225 (Ty3-RT), 
         |           '--chromovirus             | 1     | 1.4e-05    |                                                                                                
         |               '--chromo-outgroup     | 1     | 1.4e-05    | 1 (Ty3-PROT),                                                                                  
         '--Class_II                            | 1     | 1.4e-05    |                                                                                                
             '--Subclass_2                      | 1     | 1.4e-05    |                                                                                                
                 '--Helitron                    | 1     | 1.4e-05    | 1 (Helitron-HEL2),                                                                             "	NA	"42,43,54,14,18"
6	61689	"SIRE"	"                                                | nhits | proportion |                                                                      features
----------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 9560  | 0.15       |                                                                              
 |--organelle                                   | 4     | 6.5e-05    |                                                                              
 |   |--plastid                                 | 3     | 4.9e-05    |                                                                              
 |   '--mitochondria                            | 1     | 1.6e-05    |                                                                              
 '--repeat                                      | 9556  | 0.15       |                                                                              
     '--mobile_element                          | 9556  | 0.15       |                                                                              
         '--Class_I                             | 9556  | 0.15       |                                                                              
             '--LTR                             | 9556  | 0.15       | LTR/PBS                                                                      
                 |--Ty1_copia                   | 9551  | 0.15       |                                                                              
                 |   |--Ale                     | 53    | 0.00086    | 22 (Ty1-INT), 18 (Ty1-RH), 13 (Ty1-RT),                                      
                 |   |--Alesia                  | 8     | 0.00013    | 8 (Ty1-PROT),                                                                
                 |   |--Angela                  | 3     | 4.9e-05    | 2 (Ty1-RH), 1 (Ty1-RT),                                                      
                 |   |--Gymco-I                 | 1     | 1.6e-05    | 1 (Ty1-RT),                                                                  
                 |   |--Ivana                   | 652   | 0.011      | 13 (Ty1-GAG), 4 (Ty1-INT), 82 (Ty1-PROT), 338 (Ty1-RH), 215 (Ty1-RT),        
                 |   |--SIRE                    | 8824  | 0.14       | 306 (Ty1-GAG), 2673 (Ty1-INT), 625 (Ty1-PROT), 1852 (Ty1-RH), 3368 (Ty1-RT), 
                 |   '--Tork                    | 10    | 0.00016    | 2 (Ty1-INT), 4 (Ty1-PROT), 4 (Ty1-RT),                                       
                 '--Ty3_gypsy                   | 5     | 8.1e-05    |                                                                              
                     |--non-chromovirus         | 4     | 6.5e-05    |                                                                              
                     |   '--OTA                 | 4     | 6.5e-05    |                                                                              
                     |       |--Athila          | 1     | 1.6e-05    | 1 (Ty3-RT),                                                                  
                     |       '--Tat             | 3     | 4.9e-05    |                                                                              
                     |           '--Ogre        | 3     | 4.9e-05    | 2 (Ty3-INT), 1 (Ty3-RH),                                                     
                     '--chromovirus             | 1     | 1.6e-05    |                                                                              
                         '--Tekay               | 1     | 1.6e-05    | 1 (Ty3-RH),                                                                  "	NA	"20,48,55,131,13"
7	55887	"NA"	"                                                | nhits | proportion |                                     features
-------------------------------------------------------------------------------------------------------------------
All                                             | 3111  | 0.056      |                                             
 |--organelle                                   | 837   | 0.015      |                                             
 |   |--plastid                                 | 836   | 0.015      |                                             
 |   '--mitochondria                            | 1     | 1.8e-05    |                                             
 '--repeat                                      | 2274  | 0.041      |                                             
     '--mobile_element                          | 2274  | 0.041      |                                             
         |--Class_I                             | 2273  | 0.041      |                                             
         |   |--LTR                             | 2272  | 0.041      | LTR/PBS                                     
         |   |   '--Ty3_gypsy                   | 2272  | 0.041      |                                             
         |   |       |--non-chromovirus         | 2270  | 0.041      |                                             
         |   |       |   '--OTA                 | 2270  | 0.041      |                                             
         |   |       |       |--Athila          | 122   | 0.0022     | 121 (Ty3-GAG), 1 (Ty3-INT),                 
         |   |       |       '--Tat             | 2148  | 0.038      |                                             
         |   |       |           |--Ogre        | 1     | 1.8e-05    | 1 (Ty3-GAG),                                
         |   |       |           '--Retand      | 2147  | 0.038      | 994 (Ty3-GAG), 1152 (Ty3-PROT), 1 (Ty3-RT), 
         |   |       '--chromovirus             | 2     | 3.6e-05    |                                             
         |   |           |--Galadriel           | 1     | 1.8e-05    | 1 (Ty3-RT),                                 
         |   |           '--Reina               | 1     | 1.8e-05    | 1 (Ty3-GAG),                                
         |   '--LINE                            | 1     | 1.8e-05    | 1 (LINE-RT),                                
         '--Class_II                            | 1     | 1.8e-05    |                                             
             '--Subclass_1                      | 1     | 1.8e-05    |                                             
                 '--TIR                         | 1     | 1.8e-05    |                                             
                     '--EnSpm_CACTA             | 1     | 1.8e-05    | 1 (CACTA-TPase),                            "	NA	"37,39,74,10"
8	51689	"Tekay"	"                                                | nhits | proportion |                                                                                   features
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 3214  | 0.062      |                                                                                           
 |--organelle                                   | 4     | 7.7e-05    |                                                                                           
 |   '--plastid                                 | 4     | 7.7e-05    |                                                                                           
 '--repeat                                      | 3210  | 0.062      |                                                                                           
     '--mobile_element                          | 3210  | 0.062      |                                                                                           
         '--Class_I                             | 3210  | 0.062      |                                                                                           
             '--LTR                             | 3210  | 0.062      | LTR/PBS                                                                                   
                 |--Ty1_copia                   | 2     | 3.9e-05    |                                                                                           
                 |   |--Ale                     | 1     | 1.9e-05    | 1 (Ty1-INT),                                                                              
                 |   '--Angela                  | 1     | 1.9e-05    | 1 (Ty1-PROT),                                                                             
                 '--Ty3_gypsy                   | 3208  | 0.062      |                                                                                           
                     |--non-chromovirus         | 18    | 0.00035    |                                                                                           
                     |   |--Selgy               | 13    | 0.00025    | 13 (Ty3-RT),                                                                              
                     |   '--OTA                 | 5     | 9.7e-05    |                                                                                           
                     |       |--Athila          | 4     | 7.7e-05    | 1 (Ty3-INT), 3 (Ty3-RH),                                                                  
                     |       '--Tat             | 1     | 1.9e-05    |                                                                                           
                     |           '--Retand      | 1     | 1.9e-05    | 1 (Ty3-RT),                                                                               
                     '--chromovirus             | 3190  | 0.062      |                                                                                           
                         |--Chlamyvir           | 50    | 0.00097    | 50 (Ty3-RT),                                                                              
                         |--Tcn1                | 29    | 0.00056    | 29 (Ty3-RT),                                                                              
                         |--CRM                 | 74    | 0.0014     | 29 (Ty3-GAG), 3 (Ty3-INT), 3 (Ty3-RH), 39 (Ty3-RT),                                       
                         |--Galadriel           | 8     | 0.00016    | 8 (Ty3-RT),                                                                               
                         |--Tekay               | 3002  | 0.058      | 290 (Ty3-CHD), 183 (Ty3-GAG), 1310 (Ty3-INT), 100 (Ty3-PROT), 574 (Ty3-RH), 545 (Ty3-RT), 
                         |--Reina               | 26    | 5e-04      | 2 (Ty3-RH), 24 (Ty3-RT),                                                                  
                         '--chromo-unclass      | 1     | 1.9e-05    | 1 (Ty3-RT),                                                                               "	NA	"51,84,122,133,35,70"
9	49697	"Tekay"	"                                                | nhits | proportion |                                                                                       features
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 11730 | 0.24       |                                                                                               
 |--organelle                                   | 2     | 4e-05      |                                                                                               
 |   '--mitochondria                            | 2     | 4e-05      |                                                                                               
 '--repeat                                      | 11728 | 0.24       |                                                                                               
     '--mobile_element                          | 11728 | 0.24       |                                                                                               
         '--Class_I                             | 11728 | 0.24       |                                                                                               
             |--LTR                             | 11727 | 0.24       | LTR/PBS                                                                                       
             |   |--Ty1_copia                   | 1     | 2e-05      |                                                                                               
             |   |   '--Angela                  | 1     | 2e-05      | 1 (Ty1-RT),                                                                                   
             |   '--Ty3_gypsy                   | 11726 | 0.24       |                                                                                               
             |       |--non-chromovirus         | 1     | 2e-05      |                                                                                               
             |       |   '--OTA                 | 1     | 2e-05      |                                                                                               
             |       |       '--Tat             | 1     | 2e-05      |                                                                                               
             |       |           '--Retand      | 1     | 2e-05      | 1 (Ty3-RT),                                                                                   
             |       '--chromovirus             | 11725 | 0.24       |                                                                                               
             |           |--Chlamyvir           | 2     | 4e-05      | 1 (Ty3-INT), 1 (Ty3-RT),                                                                      
             |           |--Tcn1                | 83    | 0.0017     | 83 (Ty3-RT),                                                                                  
             |           |--CRM                 | 3     | 6e-05      | 3 (Ty3-RT),                                                                                   
             |           |--Galadriel           | 3     | 6e-05      | 1 (Ty3-RH), 2 (Ty3-RT),                                                                       
             |           |--Tekay               | 11633 | 0.23       | 1049 (Ty3-CHD), 1302 (Ty3-GAG), 4671 (Ty3-INT), 946 (Ty3-PROT), 1602 (Ty3-RH), 2063 (Ty3-RT), 
             |           '--Reina               | 1     | 2e-05      | 1 (Ty3-INT),                                                                                  
             '--LINE                            | 1     | 2e-05      | 1 (LINE-RT),                                                                                  "	NA	"56,59,29,41"
10	47452	"NA"	"                                                | nhits | proportion |                       features
-----------------------------------------------------------------------------------------------------
All                                             | 991   | 0.021      |                               
 |--organelle                                   | 233   | 0.0049     |                               
 |   |--plastid                                 | 232   | 0.0049     |                               
 |   '--mitochondria                            | 1     | 2.1e-05    |                               
 '--repeat                                      | 758   | 0.016      |                               
     '--mobile_element                          | 758   | 0.016      |                               
         '--Class_I                             | 758   | 0.016      |                               
             '--LTR                             | 758   | 0.016      | LTR/PBS                       
                 |--Ty1_copia                   | 1     | 2.1e-05    |                               
                 |   '--TAR                     | 1     | 2.1e-05    | 1 (Ty1-INT),                  
                 '--Ty3_gypsy                   | 757   | 0.016      |                               
                     '--chromovirus             | 757   | 0.016      |                               
                         '--Tekay               | 757   | 0.016      | 168 (Ty3-CHD), 589 (Ty3-INT), "	NA	"78,80,17,40"
